"ASN.SITE.NO","DAY","MONTH","YEAR","DOC","A350","SR","BA","FI","HIXOHNO","C1","C2","C3","C4","C5","C6","C7","SUVA254","DISC","DO","pH","S.COND","SRP","TDN","TDP","TEMP","TP","TSS","A254","Cth","Cmh","Cmp","Cf"
20,NA,8,2005,21.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,191,NA,861,2.14241,21,22.83465,NA,NA,NA,NA,NA,NA
22,NA,8,2005,7.021,4.032167594,1.25568592,0.603548928,NA,0.900435049,NA,NA,NA,NA,NA,NA,NA,2.271590129,NA,NA,6.84,102,NA,693,2.14241,24,2.988665,NA,NA,NA,NA,NA,NA
24,NA,8,2005,6.505,2.497027835,1.193190175,0.671847925,NA,0.903798917,NA,NA,NA,NA,NA,NA,NA,1.841715778,NA,NA,7.37,172,NA,737,4.27048,22,7.579385,NA,NA,NA,NA,NA,NA
26,NA,8,2005,6.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,49,NA,747,6.246545,19,8.012895,NA,NA,NA,NA,NA,NA
27,NA,8,2005,3.816,1.771641174,0.817645075,0.620975072,NA,0.934377462,NA,NA,NA,NA,NA,NA,NA,1.848787886,NA,NA,8.44,480,NA,989,14.91083,15,2.63158,NA,NA,NA,NA,NA,NA
28,NA,8,2005,4.014,2.584184117,1.154244911,0.58257111,NA,0.927249208,NA,NA,NA,NA,NA,NA,NA,1.976627832,NA,NA,8.06,535,NA,910,0.62236,18,5.09423,NA,NA,NA,NA,NA,NA
29,NA,8,2005,14.793,10.74472133,0.887454258,0.55940947,NA,0.94672917,NA,NA,NA,NA,NA,NA,NA,2.926703267,NA,NA,7.62,565,NA,1303,6.550555,22,18.905025,NA,NA,NA,NA,NA,NA
30,NA,8,2005,6.151,5.526469025,1.704475122,0.568575369,NA,0.928038251,NA,NA,NA,NA,NA,NA,NA,2.37519142,0.144315535,NA,8.02,345,NA,950,7.9186,19,19.147895,NA,NA,NA,NA,NA,NA
31,NA,8,2005,13.369,8.000199189,1.001285669,0.609835315,NA,0.930257285,NA,NA,NA,NA,NA,NA,NA,2.634218407,NA,NA,7.84,420,NA,944,9.13464,25,13.805215,NA,NA,NA,NA,NA,NA
32,NA,8,2005,5.664,2.874732564,1.160253637,0.618090375,NA,0.909558557,NA,NA,NA,NA,NA,NA,NA,2.087699958,NA,NA,8.06,462,NA,1438,8.5,18,13.508425,NA,NA,NA,NA,NA,NA
33,NA,8,2005,4.318,1.900995707,1.029877873,0.583894292,NA,0.939587624,NA,NA,NA,NA,NA,NA,NA,1.849080386,NA,NA,8.31,349,NA,941,2.14241,18,11.239,NA,NA,NA,NA,NA,NA
34,NA,8,2005,6.245,2.503397966,1.170256609,0.671168302,NA,0.900916505,NA,NA,NA,NA,NA,NA,NA,1.711246015,0.01248,NA,7.73,530,NA,863,1.53439,23,27.303935,NA,NA,NA,NA,NA,NA
35,NA,8,2005,5.762,2.824650874,1.02314775,0.694355985,NA,0.920021171,NA,NA,NA,NA,NA,NA,NA,2.118706052,0.01,NA,8.03,532,NA,713,4.57449,19,15.99358,NA,NA,NA,NA,NA,NA
38,NA,8,2005,6.295,4.432712537,0.921705952,0.568219149,NA,0.93368166,NA,NA,NA,NA,NA,NA,NA,2.623676876,0.14,NA,8.33,687,NA,611,5.18251,21,9.07693,NA,NA,NA,NA,NA,NA
1,NA,7,2005,6.687,4.106384779,1.141395084,0.602793359,1.377954047,0.903135004,NA,NA,NA,NA,NA,NA,NA,2.428550632,NA,NA,8.23,335,NA,NA,18.25674,27,27.37704,NA,NA,NA,NA,NA,NA
2,NA,7,2005,13.56,9.180737407,0.84134046,0.573959731,NA,0.9376786,NA,NA,NA,NA,NA,NA,NA,3.15492163,0.09,NA,7.87,449,NA,NA,21.218235,25,65.530295,NA,NA,NA,NA,NA,NA
3,NA,7,2005,8.7,3.9640045,0.531937702,0.516786596,1.356229171,0.942808684,NA,NA,NA,NA,NA,NA,NA,2.463295529,0,NA,7.88,320,NA,NA,3.208245,27,4.57629,NA,NA,NA,NA,NA,NA
4,NA,7,2005,20.27,11.28468653,0.762961362,0.540140882,NA,0.934877091,NA,NA,NA,NA,NA,NA,NA,2.854038142,NA,NA,8.12,NA,NA,NA,9.097691,NA,26.921025,NA,NA,NA,NA,NA,NA
5,NA,7,2005,21.42,14.40487999,0.825612226,0.507527527,NA,0.951672377,NA,NA,NA,NA,NA,NA,NA,3.356903823,NA,NA,7.91,725,NA,NA,10.735,26,41.817515,NA,NA,NA,NA,NA,NA
6,NA,7,2005,12.09,6.919344764,0.763948,0.580921514,NA,0.928297289,NA,NA,NA,NA,NA,NA,NA,3.050952139,0.1934,NA,8.16,402,NA,NA,4.57629,30,22.056865,NA,NA,NA,NA,NA,NA
7,NA,7,2005,22.15,17.68965936,0.946414673,0.52682091,1.431919633,0.954309275,NA,NA,NA,NA,NA,NA,NA,3.49088003,0,NA,8.3,505,NA,NA,10.9605,28,36.345335,NA,NA,NA,NA,NA,NA
8,NA,7,2005,14.89,12.40465665,0.992089682,0.535210295,NA,0.948032855,NA,NA,NA,NA,NA,NA,NA,3.396327955,NA,NA,7.91,677,NA,NA,21.90486,31,38.92942,NA,NA,NA,NA,NA,NA
9,NA,7,2005,11.54,5.429767924,0.808659684,0.650845782,1.370301044,0.916601252,NA,NA,NA,NA,NA,NA,NA,2.553128347,NA,NA,7.97,390,NA,NA,4.424285,30,14.456615,NA,NA,NA,NA,NA,NA
10,NA,7,2005,5.998,2.92165825,1.468555714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.515559328,0.0071589,NA,8.27,358,NA,NA,5.336315,29,53.82591,NA,NA,NA,NA,NA,NA
11,NA,7,2005,7.318,2.939425291,1.526228588,NA,1.281287463,NA,NA,NA,NA,NA,NA,NA,NA,2.14622737,1.748775749,NA,8.05,193,NA,NA,10.200475,20,19.928795,NA,NA,NA,NA,NA,NA
12,NA,7,2005,5.899,4.723502304,0.622975899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.015963537,0.225567972,NA,8.29,332,NA,NA,2.81922,20,9.13644,NA,NA,NA,NA,NA,NA
13,NA,7,2005,7.882,7.708120055,1.12548721,0.523227089,NA,0.947935426,NA,NA,NA,NA,NA,NA,NA,3.604176599,0.140208249,NA,8.36,312,NA,NA,1.992205,25,8.22441,NA,NA,NA,NA,NA,NA
14,NA,7,2005,12.51,5.883887896,1.02410545,0.686303301,NA,0.914111965,NA,NA,NA,NA,NA,NA,NA,2.487387785,NA,NA,8.37,590,NA,NA,67.81037,29,151.869135,NA,NA,NA,NA,NA,NA
15,NA,7,2005,12.69,6.67239366,0.589610244,0.592219788,NA,0.949115315,NA,NA,NA,NA,NA,NA,NA,3.097378003,0.0035,NA,7.67,667,NA,NA,79.97077,23,152.781165,NA,NA,NA,NA,NA,NA
16,NA,7,2005,7.324,3.888097923,0.830753741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78828934,0.123016288,NA,7.93,350,NA,NA,12.861663,27,37.257365,NA,NA,NA,NA,NA,NA
17,NA,7,2005,25.24,26.40340889,0.851831449,0.517813738,NA,0.953899382,NA,NA,NA,NA,NA,NA,NA,4.588090681,NA,NA,7.52,401,NA,NA,64.77027,32,288.977645,NA,NA,NA,NA,NA,NA
18,NA,7,2005,6.86,1.637271691,NA,0.648559006,NA,0.880458391,NA,NA,NA,NA,NA,NA,NA,2.26490841,0.219725286,NA,8.07,354,NA,NA,15.368645,32,24.792955,NA,NA,NA,NA,NA,NA
19,NA,7,2005,11.83,3.735771421,0.354270388,0.657623299,NA,0.914592452,NA,NA,NA,NA,NA,NA,NA,2.496683975,NA,NA,8.09,309,NA,NA,3.73766,28,28.59308,NA,NA,NA,NA,NA,NA
20,NA,7,2005,19.72,24.67880844,0.681569759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.295747547,0,NA,5.13,18.9,NA,NA,7.464385,19,26.008995,NA,NA,NA,NA,NA,NA
22,NA,7,2005,6.36,5.03095902,1.425552401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.934637157,NA,NA,7.49,86.8,NA,NA,0,26,3.816265,NA,NA,NA,NA,NA,NA
23,NA,7,2005,9.222,9.860475267,1.371815727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.610258997,NA,NA,7.9,364,NA,NA,5.336315,22,9.592455,NA,NA,NA,NA,NA,NA
24,NA,7,2005,6.82,5.610220293,1.827263426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.709220952,NA,NA,8.31,NA,NA,NA,7.61639,26,13.848595,NA,NA,NA,NA,NA,NA
26,NA,7,2005,1.255,8.253698415,0.871113954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.697502,NA,NA,7.17,32.6,NA,NA,5.336315,21,12.936565,NA,NA,NA,NA,NA,NA
27,NA,7,2005,4.204,4.896189613,1.394518728,0.607603537,NA,0.920960143,NA,NA,NA,NA,NA,NA,NA,3.202392058,NA,NA,8.46,416,NA,NA,29.2,21,6.09634,NA,NA,NA,NA,NA,NA
28,NA,7,2005,5.633,6.931722658,1.455380215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.325354635,0.37825403,NA,8.21,329,NA,NA,1.563327,23,26.313005,NA,NA,NA,NA,NA,NA
29,NA,7,2005,10.05,8.436417639,1.181726302,0.61222037,NA,0.938390335,NA,NA,NA,NA,NA,NA,NA,3.519378203,NA,NA,7.83,472,NA,NA,0.168145,24,16.888695,NA,NA,NA,NA,NA,NA
30,NA,7,2005,6.769,6.341108459,1.270407649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.216788545,0.091264721,NA,8.02,635,NA,NA,16.739808,24,31.481175,NA,NA,NA,NA,NA,NA
31,NA,7,2005,17.56,15.52060384,1.156686444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.457893152,NA,NA,8.05,316,NA,NA,5.944335,28,46.073655,NA,NA,NA,NA,NA,NA
32,NA,7,2005,12.83,11.71454191,0.866947591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.596872581,1.20498375,NA,7.85,328,NA,NA,7.61639,23,106.11563,NA,NA,NA,NA,NA,NA
33,NA,7,2005,9.761,6.666073045,0.926685556,0.585346886,NA,0.933492675,NA,NA,NA,NA,NA,NA,NA,2.86849772,NA,NA,8.12,340,NA,NA,0.331342,23,29.2011,NA,NA,NA,NA,NA,NA
34,NA,7,2005,4.764,3.020551313,1.965623729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.537199394,0.014836122,NA,8.09,474,NA,NA,2.485949,27,23.272905,NA,NA,NA,NA,NA,NA
35,NA,7,2005,8.531,4.396635337,0.712618378,0.61444571,NA,0.934186974,NA,NA,NA,NA,NA,NA,NA,2.844133389,0.00988428,NA,8.18,580,NA,NA,5.79233,26,45.769645,NA,NA,NA,NA,NA,NA
36,NA,7,2005,2.062,1.285331529,1.408614657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.838020431,0,NA,7.64,NA,NA,NA,7.284964,26,42.729545,NA,NA,NA,NA,NA,NA
37,NA,7,2005,2.731,0.916307152,NA,0.566965132,NA,0.917729934,NA,NA,NA,NA,NA,NA,NA,1.897830008,0.58865562,NA,8.44,NA,NA,NA,8.895714,24,20.99283,NA,NA,NA,NA,NA,NA
38,NA,7,2005,5.347,2.828157215,0.852567076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.742003089,0.151817337,NA,8.36,NA,NA,NA,12.78456,29,39.23343,NA,NA,NA,NA,NA,NA
1,NA,6,2005,5.902,5.247770552,1.344259115,0.538332344,1.411963642,0.935122217,NA,NA,NA,NA,NA,NA,NA,3.599128476,NA,NA,7.69,497,NA,NA,50.633805,NA,90.155105,NA,NA,NA,NA,NA,NA
2,NA,6,2005,14.08,11.46888233,1.032162531,0.577050566,1.390266686,0.947229067,NA,NA,NA,NA,NA,NA,NA,2.979729873,0.65,NA,7.51,515,NA,NA,34.67328,NA,79.818765,NA,NA,NA,NA,NA,NA
